u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,name,width,bridge,access,maxspeed
7524458045,7833252095,0,"[804459235, 804459237, 1227486558, 1227486559]",cycleway,False,True,214.04730642953265,"LINESTRING (2.0253115 41.3128624, 2.0252668 41.3128382, 2.0240319 41.3121271, 2.0235921 41.3118817, 2.0235818 41.3118695, 2.0235784 41.3118575, 2.0235795 41.3118516, 2.0235817 41.3118458, 2.0235868 41.3118393, 2.0236173 41.3118093, 2.0236288 41.3117976, 2.0235955 41.311778, 2.0235589 41.3117564, 2.0235317 41.3117412, 2.0234116 41.3116739)",,,,,,
7524458045,11383885233,0,1227609654,cycleway,False,False,7.836549594191964,"LINESTRING (2.0253115 41.3128624, 2.0253542 41.3128891, 2.0253836 41.3129075)",,,2,,,
7524554142,6640642462,0,"[1029860978, 804466941, 804466942]",cycleway,False,False,73.72578416237694,"LINESTRING (2.022423 41.3172133, 2.0223489 41.3172558, 2.0222239 41.3173135, 2.0221048 41.317711, 2.0220445 41.317704, 2.0220066 41.3176961)",,,,,,
7524554142,11333547172,0,"[1192906937, 1086991034]",cycleway,False,True,392.66344706593895,"LINESTRING (2.022423 41.3172133, 2.0227674 41.317551, 2.0231721 41.317898, 2.0232695 41.3179699, 2.023445 41.3180891, 2.0238269 41.3183891, 2.0238661 41.3184157, 2.0239046 41.3184365, 2.0240966 41.3185675, 2.0246232 41.318951, 2.0256872 41.3197259, 2.0257031 41.3197352)",2,Carretera de Barcelona,2,,,
7524554142,7524554155,0,1113306548,cycleway,False,True,19.591901845163648,"LINESTRING (2.022423 41.3172133, 2.0223949 41.3171808, 2.02234 41.3171172, 2.0223312 41.3170969, 2.0223404 41.3170572)",,Passeig de la Marina,,,,
7524554154,7524556141,0,"[804464496, 1113306546, 804464494]",cycleway,False,True,550.6100822715266,"LINESTRING (2.0252674 41.3145216, 2.0255292 41.3143702, 2.0263129 41.313932, 2.026341 41.3139257, 2.0264099 41.3139315, 2.0264643 41.3139371, 2.0264972 41.3139407, 2.0265298 41.3139539, 2.0270326 41.3144792, 2.0273648 41.3148287, 2.0273747 41.3148431, 2.0273727 41.3148641, 2.0273809 41.3148983, 2.0273943 41.3149341, 2.0274206 41.3149602, 2.0274471 41.3149803, 2.0274814 41.3149952, 2.0275203 41.315008, 2.0275349 41.3150106, 2.0275475 41.3150207, 2.0284834 41.3160136, 2.0287605 41.3162795, 2.0292966 41.3167484, 2.0292643 41.3168946, 2.0293165 41.3169341, 2.029403 41.3169994)",,Passeig de la Marina,,,,
7524554155,7524554142,0,1113306548,cycleway,False,False,19.591901845163648,"LINESTRING (2.0223404 41.3170572, 2.0223312 41.3170969, 2.02234 41.3171172, 2.0223949 41.3171808, 2.022423 41.3172133)",,Passeig de la Marina,,,,
7524554155,11397154241,0,"[1113306548, 1113306550, 1087040679]",cycleway,False,True,217.05618783619093,"LINESTRING (2.0223404 41.3170572, 2.0223414 41.3170204, 2.0223408 41.3170087, 2.0223328 41.3169832, 2.0223338 41.316968, 2.0222757 41.3169184, 2.0222547 41.3169064, 2.0222211 41.3168872, 2.0221915 41.316874, 2.0221554 41.3168643, 2.0221055 41.3168601, 2.0220805 41.3168608, 2.022036 41.3168426, 2.0217227 41.3165492, 2.0216139 41.3164333, 2.0211015 41.3159076, 2.0208138 41.3156243, 2.0207982 41.315606, 2.0207639 41.3155657)",2,"['Bicivia 7', 'Passeig de la Marina']",2,,,
7524554155,7524554161,0,"[804466943, 1113306551]",cycleway,False,True,358.5354194097425,"LINESTRING (2.0223404 41.3170572, 2.0224211 41.31701, 2.0226494 41.3168655, 2.0228763 41.3166997, 2.0229469 41.3166393, 2.0229831 41.3166114, 2.0235783 41.3161968, 2.0236674 41.316118, 2.0240089 41.3158501, 2.0241768 41.315727, 2.0242575 41.3156305, 2.0246703 41.3152565, 2.0247189 41.3151862, 2.0250433 41.3147643, 2.0251198 41.3146368)",,Passeig de la Marina,,,,
7524554161,7524554155,0,"[1113306551, 804466943]",cycleway,False,False,358.5354194097425,"LINESTRING (2.0251198 41.3146368, 2.0250433 41.3147643, 2.0247189 41.3151862, 2.0246703 41.3152565, 2.0242575 41.3156305, 2.0241768 41.315727, 2.0240089 41.3158501, 2.0236674 41.316118, 2.0235783 41.3161968, 2.0229831 41.3166114, 2.0229469 41.3166393, 2.0228763 41.3166997, 2.0226494 41.3168655, 2.0224211 41.31701, 2.0223404 41.3170572)",,Passeig de la Marina,,,,
