u,v,key,osmid,highway,maxspeed,oneway,ref,reversed,length,lanes,name,width,junction,access,service,bridge,geometry
1124981512,10093349906,0,97106119,residential,30,True,,False,40.782000833792495,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0154323 41.3260536, 2.0149675 41.325941)"
1124981515,9490976706,0,97106119,residential,30,True,,False,38.96919015288138,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0146942 41.3258684, 2.014265 41.3257308)"
1124981518,5971979989,0,97106119,residential,30,True,,False,15.619514697905842,,Avinguda de la Fraternitat,,,,,,"LINESTRING (2.0141363 41.3256854, 2.0139739 41.3256157)"
1128828470,9490925658,0,1086991032,tertiary,30,False,C-245,True,21.290869231243335,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0272971 41.3210883, 2.0271194 41.320951)"
1128828470,10209916914,0,1116005597,tertiary,30,False,C-245,False,22.333849768059586,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0272971 41.3210883, 2.0274873 41.3212295)"
1128828482,10207722380,0,1195588783,tertiary,30,True,C-245,False,5.460415154360083,,Carretera de Barcelona,,,,,,"LINESTRING (2.0289688 41.3221314, 2.0290152 41.322166)"
1129273458,10093506076,0,97535996,residential,30,True,,False,7.293102183429594,1,Carrer de Josep Vicenç Foix,,,,,,"LINESTRING (2.024381 41.3212585, 2.0243212 41.3213063)"
1129273459,1131425421,0,1334525286,living_street,20,True,,False,2.735951847550828,1,Carrer de Pompeu Fabra,,,,,,"LINESTRING (2.0242115 41.321236, 2.0241896 41.3212177)"
1129273459,1129273460,0,1334525287,residential,30,True,,False,8.7068379433964,1,Carrer de Josep Vicenç Foix,,,,,,"LINESTRING (2.0242115 41.321236, 2.0242802 41.3211771)"
1129273462,8044470342,0,1192906928,tertiary,30,False,C-245,False,16.479994486442127,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0237684 41.3184148, 2.0239074 41.31852)"
1129273462,11073040757,0,1192906928,tertiary,30,False,C-245,True,2.6181470443145898,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0237684 41.3184148, 2.0237463 41.3183981)"
