osmid,y,x,street_count,highway,ref,geometry
8664908627,41.3205679,2.0164259,2,bus_stop,109246,POINT (2.0164259 41.3205679)
8664908628,41.3219392,2.0183445,2,bus_stop,109245,POINT (2.0183445 41.3219392)
8664908629,41.3166436,2.0226174,2,bus_stop,106640,POINT (2.0226174 41.3166436)
8664908630,41.3149234,2.0246965,2,bus_stop,106639,POINT (2.0246965 41.3149234)
8665032513,41.3166968,2.0225462,2,bus_stop,106636,POINT (2.0225462 41.3166968)
8665032514,41.3199836,2.0171741,2,bus_stop,109181,POINT (2.0171741 41.3199836)
8665032515,41.3184549,2.0150076,2,bus_stop,109180,POINT (2.0150076 41.3184549)
8665045217,41.3165182,2.0131236,1,,,POINT (2.0131236 41.3165182)
8665045221,41.316892,2.0128023,2,,,POINT (2.0128023 41.316892)
8665045222,41.3160735,2.0142679,2,,,POINT (2.0142679 41.3160735)
8665045224,41.3169213,2.0128433,2,bus_stop,109179,POINT (2.0128433 41.3169213)
8665045225,41.3182676,2.0080272,2,bus_stop,107303,POINT (2.0080272 41.3182676)
8665045226,41.3147129,2.0017205,2,bus_stop,107300,POINT (2.0017205 41.3147129)
8668680134,41.3121062,2.0043392,2,bus_stop,106628,POINT (2.0043392 41.3121062)
8668680135,41.3134288,2.0048947,2,bus_stop,107312,POINT (2.0048947 41.3134288)
8668680136,41.3180883,2.0081535,2,bus_stop,107307,POINT (2.0081535 41.3180883)
8668680137,41.3172336,2.010124,2,bus_stop,107306,POINT (2.010124 41.3172336)
8668691306,41.3146424,2.014033,2,bus_stop,107315,POINT (2.014033 41.3146424)
8668691307,41.312996,2.0133201,2,bus_stop,107314,POINT (2.0133201 41.312996)
8668691308,41.3118965,2.0114669,2,bus_stop,107313,POINT (2.0114669 41.3118965)
8676626725,41.316599,2.0061226,2,bus_stop,105470,POINT (2.0061226 41.316599)
8706350372,41.3219185,1.9991108,2,,,POINT (1.9991108 41.3219185)
8706350373,41.3219268,1.9990245,2,,,POINT (1.9990245 41.3219268)
8706350374,41.3218895,1.9991468,2,,,POINT (1.9991468 41.3218895)
8706350375,41.3218607,1.9991624,2,,,POINT (1.9991624 41.3218607)
8706350376,41.3218418,1.9983577,2,,,POINT (1.9983577 41.3218418)
8706350377,41.3217716,1.9983061,2,,,POINT (1.9983061 41.3217716)
8706350378,41.3220987,1.9983819,2,,,POINT (1.9983819 41.3220987)
8706350379,41.3217083,1.9985772,2,,,POINT (1.9985772 41.3217083)
8706350380,41.3215241,1.9985189,2,,,POINT (1.9985189 41.3215241)
8706350381,41.3221283,1.9986118,2,,,POINT (1.9986118 41.3221283)
8706350392,41.3212679,2.0008246,1,,,POINT (2.0008246 41.3212679)
8706350393,41.3211609,2.0007655,2,,,POINT (2.0007655 41.3211609)
8706350394,41.3210612,2.0007931,2,,,POINT (2.0007931 41.3210612)
8706350395,41.3211862,2.000744,3,,,POINT (2.000744 41.3211862)
8706350396,41.3212043,2.0005671,2,,,POINT (2.0005671 41.3212043)
8711067614,41.3284408,2.0094939,2,,,POINT (2.0094939 41.3284408)
8711067616,41.3215299,2.0149633,2,,,POINT (2.0149633 41.3215299)
8711080820,41.3218155,2.012951,2,,,POINT (2.012951 41.3218155)
8711080824,41.3293825,2.0088723,2,,,POINT (2.0088723 41.3293825)
8711080826,41.3292969,2.0089464,2,,,POINT (2.0089464 41.3292969)
8711080828,41.3286707,2.0093177,2,,,POINT (2.0093177 41.3286707)
8711080832,41.3218006,2.013571,2,,,POINT (2.013571 41.3218006)
8711080834,41.3217573,2.0130139,2,,,POINT (2.0130139 41.3217573)
8711080837,41.3295574,2.0086829,2,,,POINT (2.0086829 41.3295574)
8711080839,41.329498,2.0087528,2,,,POINT (2.0087528 41.329498)
8711080841,41.329184,2.0090304,2,,,POINT (2.0090304 41.329184)
8711080843,41.32851,2.0094332,2,,,POINT (2.0094332 41.32851)
8711080847,41.3216309,2.0129971,2,,,POINT (2.0129971 41.3216309)
8711080849,41.3217816,2.0131099,2,,,POINT (2.0131099 41.3217816)
8711080853,41.3293356,2.0089141,2,,,POINT (2.0089141 41.3293356)
8711080855,41.3292571,2.0089777,2,,,POINT (2.0089777 41.3292571)
8711080857,41.3290389,2.0091189,2,,,POINT (2.0091189 41.3290389)
8864783442,41.2743993,2.0475411,2,,,POINT (2.0475411 41.2743993)
8901760447,41.2980947,2.0316593,2,,,POINT (2.0316593 41.2980947)
8901760454,41.2979739,2.0316795,2,,,POINT (2.0316795 41.2979739)
8978199701,41.3115642,2.0315036,2,milestone,C-32,POINT (2.0315036 41.3115642)
8978199702,41.3116154,2.0313436,2,milestone,C-32,POINT (2.0313436 41.3116154)
8978199703,41.3039163,2.0251789,2,milestone,C-32,POINT (2.0251789 41.3039163)
8978199704,41.3038454,2.0253188,2,milestone,C-32,POINT (2.0253188 41.3038454)
9103937009,41.3268516,2.0111349,2,,,POINT (2.0111349 41.3268516)
9143974726,41.2811396,2.0500078,2,,,POINT (2.0500078 41.2811396)
9380432552,41.3120625,2.0170302,2,milestone,C-245,POINT (2.0170302 41.3120625)
9405225927,41.3079355,2.005882,2,bus_stop,106384,POINT (2.005882 41.3079355)
9405225928,41.3064788,2.0086759,2,bus_stop,106383,POINT (2.0086759 41.3064788)
9450392670,41.3082199,2.0268089,2,crossing,,POINT (2.0268089 41.3082199)
9450392671,41.3081778,2.0267163,2,crossing,,POINT (2.0267163 41.3081778)
9450392677,41.3082174,2.0263555,2,crossing,,POINT (2.0263555 41.3082174)
9450392695,41.3060666,2.0201123,2,,,POINT (2.0201123 41.3060666)
9450392697,41.3060006,2.0204243,2,,,POINT (2.0204243 41.3060006)
9450392698,41.3058677,2.020559,2,,,POINT (2.020559 41.3058677)
9450392699,41.3056018,2.0208339,2,,,POINT (2.0208339 41.3056018)
9450392702,41.3061937,2.0204884,2,,,POINT (2.0204884 41.3061937)
9450392708,41.3069544,2.0226846,2,crossing,,POINT (2.0226846 41.3069544)
9450392714,41.3070886,2.0230762,3,crossing,,POINT (2.0230762 41.3070886)
9450394862,41.3050695,2.0181115,2,,,POINT (2.0181115 41.3050695)
9450394863,41.3051191,2.0182002,2,,,POINT (2.0182002 41.3051191)
9450394869,41.3054117,2.0182175,2,,,POINT (2.0182175 41.3054117)
9450503111,41.3084771,2.0265945,2,crossing,,POINT (2.0265945 41.3084771)
9450503112,41.308436,2.0265111,2,crossing,,POINT (2.0265111 41.308436)
9450503113,41.3084872,2.0264686,2,traffic_signals,,POINT (2.0264686 41.3084872)
9450503114,41.308524,2.026438,2,,,POINT (2.026438 41.308524)
9450503115,41.3081938,2.0268307,2,traffic_signals,,POINT (2.0268307 41.3081938)
9450503116,41.3036708,2.0243801,2,,,POINT (2.0243801 41.3036708)
9450522017,41.3024577,2.0231452,2,,,POINT (2.0231452 41.3024577)
9450522018,41.3004303,2.0210892,2,,,POINT (2.0210892 41.3004303)
9455940175,41.295873,2.0255321,2,,,POINT (2.0255321 41.295873)
9455940198,41.2990756,2.0336901,2,,,POINT (2.0336901 41.2990756)
9483942185,41.3101919,2.0279069,2,,,POINT (2.0279069 41.3101919)
9484462597,41.3099705,2.0276238,2,,,POINT (2.0276238 41.3099705)
9484462602,41.3121626,2.0239009,2,,,POINT (2.0239009 41.3121626)
9484462603,41.3121932,2.0239569,2,,,POINT (2.0239569 41.3121932)
9484613623,41.3130099,2.0308995,2,,,POINT (2.0308995 41.3130099)
9484613624,41.3131533,2.0310321,2,,,POINT (2.0310321 41.3131533)
9484613628,41.3126108,2.0310075,2,crossing,,POINT (2.0310075 41.3126108)
9484613629,41.3126508,2.0309362,2,crossing,,POINT (2.0309362 41.3126508)
9484613632,41.310626,2.0288647,2,crossing,,POINT (2.0288647 41.310626)
9484613633,41.31068,2.0288037,2,crossing,,POINT (2.0288037 41.31068)
9484613636,41.3101368,2.0280844,2,crossing,,POINT (2.0280844 41.3101368)
9484613641,41.3100947,2.0278338,2,crossing,,POINT (2.0278338 41.3100947)
9484613642,41.310032,2.0278988,2,crossing,,POINT (2.0278988 41.310032)
9484613646,41.3095987,2.0271241,2,,,POINT (2.0271241 41.3095987)
9484613647,41.3096571,2.0270705,2,,,POINT (2.0270705 41.3096571)
9485752704,41.3092375,2.0263099,2,,,POINT (2.0263099 41.3092375)
9485752705,41.3091805,2.0263722,2,,,POINT (2.0263722 41.3091805)
9485752940,41.3104524,2.02845,2,,,POINT (2.02845 41.3104524)
9490925624,41.3216632,2.0194493,2,stop,,POINT (2.0194493 41.3216632)
9490925625,41.3216042,2.0195798,2,crossing,,POINT (2.0195798 41.3216042)
9490925626,41.3216193,2.0193888,2,crossing,,POINT (2.0193888 41.3216193)
9490925627,41.3217617,2.0194335,2,crossing,,POINT (2.0194335 41.3217617)
9490925628,41.3196975,2.0206167,2,,,POINT (2.0206167 41.3196975)
9490925629,41.3196472,2.0204921,2,crossing,,POINT (2.0204921 41.3196472)
9490925630,41.3195296,2.0203023,2,crossing,,POINT (2.0203023 41.3195296)
9490925631,41.3188688,2.0210751,2,stop,,POINT (2.0210751 41.3188688)
