u,v,key,osmid,highway,junction,maxspeed,ref,oneway,reversed,length,name,lanes,width,access,bridge,tunnel,geometry
2216977233,2216977230,0,934269774,cycleway,,,,False,False,21.875694671715216,,,,,,,"LINESTRING (2.0563926 41.2908501, 2.0566537 41.2908354)"
2216977233,2216977238,0,934269774,cycleway,,,,False,True,26.192937539658548,,,,,,,"LINESTRING (2.0563926 41.2908501, 2.0560857 41.2908982)"
2216977234,2216977237,0,934269774,cycleway,,,,False,False,17.289749904978894,,,,,,,"LINESTRING (2.057099 41.2908599, 2.0573014 41.2908923)"
2216977234,2216977231,0,934269774,cycleway,,,,False,True,18.702651688910773,,,,,,,"LINESTRING (2.057099 41.2908599, 2.056877 41.2908383)"
2216977237,2216977240,0,934269774,cycleway,,,,False,False,16.318136551301823,,,,,,,"LINESTRING (2.0573014 41.2908923, 2.0574881 41.2909354)"
2216977237,2216977234,0,934269774,cycleway,,,,False,True,17.289749904978894,,,,,,,"LINESTRING (2.0573014 41.2908923, 2.057099 41.2908599)"
2216977238,2216977233,0,934269774,cycleway,,,,False,False,26.192937539658548,,,,,,,"LINESTRING (2.0560857 41.2908982, 2.0563926 41.2908501)"
2216977238,9036217380,0,934269774,cycleway,,,,False,True,32.98483851705016,,,,,,,"LINESTRING (2.0560857 41.2908982, 2.0557064 41.2909805)"
2216977239,2518387893,0,273924482,cycleway,,,,False,False,2.0453218890827007,,,,,,,"LINESTRING (2.0595573 41.2909218, 2.0595781 41.2909121)"
2216977239,2216977249,0,273924482,cycleway,,,,False,True,51.991935518204265,,,,,,,"LINESTRING (2.0595573 41.2909218, 2.0590384 41.2911799)"
2216977240,2216977242,0,934269774,cycleway,,,,False,False,11.328052115751257,,,,,,,"LINESTRING (2.0574881 41.2909354, 2.0576069 41.2909845)"
2216977240,2216977237,0,934269774,cycleway,,,,False,True,16.318136551301823,,,,,,,"LINESTRING (2.0574881 41.2909354, 2.0573014 41.2908923)"
2216977242,2216977244,0,934269774,cycleway,,,,False,False,11.070766130383884,,,,,,,"LINESTRING (2.0576069 41.2909845, 2.0577075 41.2910493)"
2216977242,2216977240,0,934269774,cycleway,,,,False,True,11.328052115751257,,,,,,,"LINESTRING (2.0576069 41.2909845, 2.0574881 41.2909354)"
2216977244,2216977245,0,934269774,cycleway,,,,False,False,11.129849043162007,,,,,,,"LINESTRING (2.0577075 41.2910493, 2.057808 41.291115)"
2216977244,2216977242,0,934269774,cycleway,,,,False,True,11.070766130383884,,,,,,,"LINESTRING (2.0577075 41.2910493, 2.0576069 41.2909845)"
2216977245,2216977251,0,934269774,cycleway,,,,False,False,12.325970626184878,,,,,,,"LINESTRING (2.057808 41.291115, 2.0578901 41.2912071)"
2216977245,2216977244,0,934269774,cycleway,,,,False,True,11.129849043162007,,,,,,,"LINESTRING (2.057808 41.291115, 2.0577075 41.2910493)"
2216977246,10170339154,0,210931266,cycleway,,,,False,False,0.6103387495902968,,,,,,,"LINESTRING (2.0557683 41.2911593, 2.0557664 41.291154)"
2216977246,2216977247,0,210931266,cycleway,,,,False,True,5.086375420399744,,,,,,,"LINESTRING (2.0557683 41.2911593, 2.0557097 41.2911717)"
2216977247,2216977246,0,210931266,cycleway,,,,False,False,5.086375420399744,,,,,,,"LINESTRING (2.0557097 41.2911717, 2.0557683 41.2911593)"
2216977247,2216977248,0,210931266,cycleway,,,,False,True,2.042329613604283,,,,,,,"LINESTRING (2.0557097 41.2911717, 2.0556871 41.2911787)"
2216977248,2216977247,0,210931266,cycleway,,,,False,False,2.042329613604283,,,,,,,"LINESTRING (2.0556871 41.2911787, 2.0557097 41.2911717)"
2216977248,2216977250,0,210931266,cycleway,,,,False,True,2.6313412545069457,,,,,,,"LINESTRING (2.0556871 41.2911787, 2.0556598 41.2911905)"
2216977249,2216977239,0,273924482,cycleway,,,,False,False,51.991935518204265,,,,,,,"LINESTRING (2.0590384 41.2911799, 2.0595573 41.2909218)"
